"","market","country","property_type","room_type","bed_type","minimum_nights","maximum_nights","cancellation_policy","number_of_reviews","bedrooms","beds","accommodates","price","security_deposit","bathrooms","cleaning_fee","guests_included","extra_people","reviews_per_month","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","review_scores_rating","host_is_superhost","host_neighbourhood","host_identity_verified"
"456","Hong Kong","Hong Kong","Apartment","Private room","Real Bed","1","500","strict_14_with_grace_period",20,1,2,2,597,0,1,0,2,1000,NA,9,9,9,9,9,9,85,FALSE,"Jordan",FALSE
"457","Istanbul","Turkey","Apartment","Private room","Real Bed","1","1125","flexible",0,1,1,4,121,536,1,48,1,48,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",FALSE
"458","Oahu","United States","House","Shared room","Real Bed","1","1125","strict_14_with_grace_period",109,1,1,1,35,0,1.5,5,1,35,NA,9,8,9,9,9,9,85,FALSE,"Ala Moana/Kakaako",FALSE
"459","Hong Kong","Hong Kong","Apartment","Entire home/apt","Real Bed","3","1125","strict_14_with_grace_period",4,2,2,6,1099,1000,1,500,1,0,NA,10,10,10,10,10,8,100,FALSE,"Causeway Bay",FALSE
"460","Porto","Portugal","Apartment","Entire home/apt","Real Bed","1","1125","moderate",399,2,3,4,53,0,1,25,1,0,NA,10,9,9,10,10,9,93,FALSE,"",TRUE
"461","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","3","90","strict_14_with_grace_period",0,1,1,3,142,500,1,0,2,20,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Catete",FALSE
"462","Montreal","Canada","Apartment","Private room","Real Bed","1","1125","flexible",8,1,1,2,81,240,1,25,1,20,NA,9,9,10,10,10,9,98,FALSE,"Le Plateau",FALSE
"463","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","1","45","moderate",128,1,2,4,112,NA,1,29,2,39,NA,10,10,10,10,10,10,99,TRUE,"",TRUE
"464","Barcelona","Spain","Apartment","Private room","Real Bed","5","1125","moderate",93,1,2,2,39,NA,1,NA,1,0,NA,10,9,10,9,10,10,94,FALSE,"",FALSE
"465","Oahu","United States","Condominium","Entire home/apt","Real Bed","3","1125","super_strict_30",4,2,3,7,500,0,2,329,1,0,NA,10,10,10,10,10,10,100,FALSE,"Waikiki",TRUE
"466","Barcelona","Spain","Apartment","Entire home/apt","Real Bed","3","1125","moderate",0,4,4,7,420,500,3,90,4,20,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"L'Antiga Esquerra de l'Eixample",FALSE
"467","Hong Kong","Hong Kong","Apartment","Private room","Real Bed","1","1125","moderate",0,1,1,1,322,NA,0.5,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",FALSE
"468","Barcelona","Spain","Loft","Entire home/apt","Real Bed","1","365","moderate",188,1,1,2,61,100,1,30,2,0,NA,8,8,9,9,9,8,84,FALSE,"Sarrià",TRUE
"469","Montreal","Canada","Condominium","Entire home/apt","Real Bed","3","1825","strict_14_with_grace_period",22,0,1,2,149,300,1,100,1,0,NA,10,10,9,9,10,10,90,FALSE,"Downtown Toronto",TRUE
"470","Oahu","United States","Guest suite","Entire home/apt","Real Bed","1","1125","strict_14_with_grace_period",85,1,1,2,65,NA,1,100,1,0,NA,10,9,10,10,10,10,94,FALSE,"North Shore",TRUE
"471","Istanbul","Turkey","Apartment","Entire home/apt","Real Bed","5","1125","strict_14_with_grace_period",6,3,6,10,765,NA,2,NA,1,0,NA,10,9,10,10,10,9,100,FALSE,"",FALSE
"472","Istanbul","Turkey","Apartment","Entire home/apt","Real Bed","1","365","flexible",0,0,2,4,100,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",FALSE
"473","Oahu","United States","Condominium","Entire home/apt","Real Bed","2","1125","strict_14_with_grace_period",42,0,1,2,88,200,1,100,1,0,NA,9,8,9,9,9,9,85,FALSE,"Waikiki",FALSE
"474","Montreal","Canada","Apartment","Entire home/apt","Real Bed","2","1125","strict_14_with_grace_period",22,4,4,8,152,400,1,165,8,7,NA,10,10,10,10,10,10,94,FALSE,"Gay Village",FALSE
"475","Oahu","United States","Apartment","Entire home/apt","Real Bed","3","1125","strict_14_with_grace_period",8,2,6,6,249,1500,1,160,1,0,NA,9,9,9,9,9,9,86,FALSE,"Waikiki",FALSE
"476","Montreal","Canada","Apartment","Private room","Real Bed","2","1125","flexible",7,1,1,2,20,NA,1,NA,1,0,NA,10,9,10,9,10,9,94,FALSE,"Quartier des Spectacles",FALSE
"477","The Big Island","United States","House","Entire home/apt","Real Bed","2","1125","flexible",16,2,5,8,135,NA,2.5,145,1,0,NA,10,9,10,10,10,10,95,FALSE,"Island of Hawaiʻi",TRUE
"478","New York","United States","Apartment","Private room","Real Bed","1","1125","moderate",2,1,1,1,34,NA,1,NA,1,0,NA,10,10,10,9,10,10,90,FALSE,"Tremont",TRUE
"479","New York","United States","Apartment","Private room","Real Bed","3","14","moderate",1,1,1,1,60,100,1,50,1,0,NA,10,10,10,10,10,10,100,FALSE,"Williamsburg",TRUE
"480","Montreal","Canada","Apartment","Entire home/apt","Real Bed","3","15","flexible",0,1,1,2,240,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Lachine",FALSE
"481","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","2","1125","moderate",76,3,8,11,298,NA,3,150,1,0,NA,9,8,10,10,10,10,89,FALSE,"",TRUE
"482","Hong Kong","Hong Kong","Apartment","Private room","Real Bed","5","21","flexible",0,1,1,2,2496,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Mid-Levels",FALSE
"483","New York","United States","Townhouse","Private room","Real Bed","3","25","strict_14_with_grace_period",231,1,2,4,130,250,1,NA,2,70,NA,10,10,10,10,10,10,98,TRUE,"Long Island City",TRUE
"484","Maui","United States","Serviced apartment","Entire home/apt","Real Bed","5","1125","strict_14_with_grace_period",1,0,2,4,324,500,1,NA,1,0,NA,10,10,10,10,10,10,100,TRUE,"Kaanapali",TRUE
"485","Istanbul","Turkey","Bed and breakfast","Private room","Real Bed","1","1125","flexible",0,1,NA,1,448,NA,NA,NA,1,119,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",FALSE
"486","Istanbul","Turkey","Apartment","Private room","Real Bed","10","1125","flexible",0,1,1,1,63,NA,1.5,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",FALSE
"487","Montreal","Canada","Apartment","Private room","Real Bed","2","1125","moderate",7,1,1,3,35,NA,1,10,2,15,NA,9,9,10,10,10,9,91,FALSE,"Le Plateau",TRUE
"488","Maui","United States","Apartment","Entire home/apt","Real Bed","4","365","strict_14_with_grace_period",46,2,3,7,299,0,2,225,6,75,NA,10,10,10,10,10,10,100,TRUE,"Napili/Honokowai",TRUE
"489","Istanbul","Turkey","Apartment","Private room","Real Bed","1","1125","flexible",0,1,3,3,195,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",FALSE
"490","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","2","1125","strict_14_with_grace_period",227,1,1,2,168,400,1,0,1,0,NA,10,9,10,10,10,9,91,FALSE,"Ipanema",TRUE
"491","Oahu","United States","Condominium","Entire home/apt","Real Bed","1","1125","moderate",41,0,1,2,142,100,1,98,1,0,NA,9,9,9,9,10,9,87,FALSE,"Waikiki",FALSE
"492","Oahu","United States","House","Entire home/apt","Real Bed","5","356","strict_14_with_grace_period",30,3,7,8,299,500,2,200,4,10,NA,10,10,10,10,10,10,99,FALSE,"Palolo",FALSE
"493","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","5","60","moderate",0,1,2,3,351,0,1,150,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Leme",TRUE
"494","Rio De Janeiro","Brazil","Apartment","Private room","Real Bed","3","1125","moderate",0,1,1,2,578,NA,1,187,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Copacabana",FALSE
"495","New York","United States","House","Private room","Real Bed","1","1125","flexible",0,1,1,2,45,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Windsor Terrace",TRUE
"496","Montreal","Canada","Apartment","Private room","Real Bed","1","14","moderate",39,2,2,5,50,0,1,10,1,15,NA,10,10,10,10,10,10,95,TRUE,"Verdun",TRUE
"497","Rio De Janeiro","Brazil","Condominium","Entire home/apt","Real Bed","5","30","flexible",0,3,5,6,560,NA,3,37,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",FALSE
"498","Porto","Portugal","Apartment","Entire home/apt","Real Bed","2","30","moderate",110,1,2,4,75,0,1,15,2,10,NA,10,10,10,10,10,9,95,FALSE,"",TRUE
"499","Porto","Portugal","Condominium","Entire home/apt","Real Bed","2","1125","flexible",181,1,2,3,35,NA,1,NA,3,10,NA,10,10,10,10,10,10,98,TRUE,"",FALSE
"500","The Big Island","United States","Apartment","Entire home/apt","Real Bed","1","1125","strict_14_with_grace_period",161,1,2,4,97,200,1,60,2,10,NA,9,9,10,9,10,9,93,FALSE,"",TRUE
"501","Hong Kong","Hong Kong","Apartment","Entire home/apt","Real Bed","1","1125","flexible",0,1,2,2,502,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Sheung Wan",FALSE
"502","Montreal","Canada","Apartment","Entire home/apt","Real Bed","2","1125","flexible",8,2,2,3,150,NA,1,50,2,25,NA,10,10,10,10,10,10,100,FALSE,"Downtown Montreal",FALSE
"503","Oahu","United States","House","Entire home/apt","Real Bed","4","1125","super_strict_60",15,4,5,10,269,0,1.5,399,10,0,NA,9,9,9,9,10,8,88,FALSE,"Ko'olauloa",FALSE
"504","Sydney","Australia","Guest suite","Private room","Real Bed","1","1125","moderate",469,1,1,2,60,NA,1,15,2,0,NA,10,10,10,10,10,10,95,TRUE,"Arncliffe",TRUE
"505","Kauai","United States","Condominium","Entire home/apt","Real Bed","5","365","super_strict_60",3,2,4,6,400,0,2,204,1,0,NA,10,10,10,10,10,9,100,TRUE,"",TRUE
"506","Maui","United States","Townhouse","Entire home/apt","Real Bed","3","1125","strict_14_with_grace_period",67,2,3,5,245,500,2,270,1,0,NA,10,10,10,10,10,10,98,TRUE,"Lahaina",TRUE
"507","Porto","Portugal","House","Private room","Real Bed","2","1125","moderate",73,1,1,2,32,NA,3,NA,1,0,NA,10,9,9,10,9,9,87,FALSE,"",FALSE
"508","Oahu","United States","Apartment","Entire home/apt","Real Bed","2","1125","strict_14_with_grace_period",55,0,1,2,82,200,1,100,1,0,NA,9,9,9,9,10,9,89,FALSE,"Waikiki",FALSE
"509","Istanbul","Turkey","Boutique hotel","Private room","Real Bed","1","500","flexible",18,1,1,2,84,0,1,0,1,26,NA,9,9,10,10,10,9,92,FALSE,"Sultanahmet",TRUE
"510","Montreal","Canada","Apartment","Private room","Real Bed","5","28","flexible",0,1,1,1,36,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Mile End",FALSE
"511","Hong Kong","Hong Kong","Apartment","Private room","Real Bed","3","1125","strict_14_with_grace_period",5,1,1,1,502,7000,1,200,1,0,NA,10,10,9,9,10,10,92,FALSE,"Tai Kok Sui",FALSE
"512","Oahu","United States","Apartment","Entire home/apt","Real Bed","2","30","strict_14_with_grace_period",66,2,2,4,165,200,1,150,1,0,NA,10,10,10,10,10,10,99,TRUE,"",TRUE
"513","Porto","Portugal","Apartment","Entire home/apt","Real Bed","1","1125","moderate",27,2,4,5,80,0,2,0,4,28,NA,10,10,10,10,10,9,92,TRUE,"",TRUE
"514","Istanbul","Turkey","Serviced apartment","Entire home/apt","Real Bed","13","180","strict_14_with_grace_period",8,1,2,2,121,527,1,105,2,158,NA,10,9,10,10,9,9,97,FALSE,"",FALSE
"515","Oahu","United States","Apartment","Entire home/apt","Real Bed","1","1125","moderate",51,2,4,4,130,NA,1,100,1,0,NA,10,9,10,10,10,9,89,FALSE,"Waikiki",TRUE
"516","Rio De Janeiro","Brazil","House","Private room","Real Bed","2","1125","flexible",0,1,2,2,179,NA,1,NA,1,49,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",FALSE
"517","Sydney","Australia","Apartment","Private room","Real Bed","1","1125","flexible",0,1,1,2,569,NA,0.5,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",FALSE
"518","Kauai","United States","House","Entire home/apt","Real Bed","3","60","strict_14_with_grace_period",7,3,4,7,604,500,2,578,7,0,NA,10,10,10,10,9,9,100,FALSE,"Kauaʻi",FALSE
"519","Istanbul","Turkey","Apartment","Entire home/apt","Real Bed","4","300","moderate",23,1,1,4,369,NA,1,NA,1,0,NA,10,10,10,10,10,9,95,FALSE,"Beşiktaş",TRUE
"520","Istanbul","Turkey","Apartment","Entire home/apt","Real Bed","1","1125","flexible",0,1,1,1,264,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",FALSE
"521","Porto","Portugal","Apartment","Entire home/apt","Real Bed","2","1125","moderate",119,1,2,4,65,NA,1,15,2,10,NA,10,9,9,9,10,10,94,FALSE,"",FALSE
"522","Barcelona","Spain","Apartment","Private room","Real Bed","1","1125","moderate",28,1,1,2,30,NA,1,NA,1,0,NA,10,10,10,10,10,9,96,FALSE,"Vila de Gràcia",TRUE
"523","Porto","Portugal","Apartment","Entire home/apt","Real Bed","2","1125","strict_14_with_grace_period",13,2,2,4,120,300,2,40,1,0,NA,10,10,10,10,10,10,100,FALSE,"",FALSE
"524","New York","United States","House","Private room","Real Bed","1","6","moderate",38,1,2,3,125,100,1,35,2,20,NA,9,10,10,10,9,9,88,FALSE,"The Rockaways",FALSE
"525","Barcelona","Spain","Apartment","Private room","Real Bed","1","9","flexible",4,1,1,1,50,NA,1,10,1,0,NA,10,10,10,10,10,10,90,FALSE,"Glòries - El Parc",FALSE
"526","Barcelona","Spain","Apartment","Entire home/apt","Real Bed","3","334","strict_14_with_grace_period",27,2,2,4,295,NA,2,NA,4,30,NA,10,9,9,9,10,9,98,FALSE,"Dreta de l'Eixample",FALSE
"527","Montreal","Canada","Apartment","Private room","Real Bed","1","1125","flexible",39,1,1,2,55,NA,1,10,1,0,NA,9,10,10,10,10,10,97,FALSE,"Mile End",TRUE
"528","New York","United States","Apartment","Private room","Real Bed","1","1125","moderate",6,1,1,1,73,0,1,45,1,55,NA,10,9,10,10,10,9,100,FALSE,"Washington Heights",FALSE
"529","New York","United States","Apartment","Entire home/apt","Real Bed","30","180","strict_14_with_grace_period",32,0,1,2,140,NA,1,55,1,0,NA,10,10,10,10,10,10,99,TRUE,"",FALSE
"530","Maui","United States","Loft","Entire home/apt","Real Bed","5","1125","strict_14_with_grace_period",41,2,2,4,300,250,2,250,4,75,NA,10,10,10,10,10,9,97,TRUE,"Napili/Honokowai",TRUE
"531","Porto","Portugal","Apartment","Entire home/apt","Real Bed","3","1124","strict_14_with_grace_period",37,3,5,6,45,0,1.5,26,4,5,NA,10,10,9,10,9,9,92,FALSE,"",TRUE
"532","Rio De Janeiro","Brazil","Townhouse","Private room","Real Bed","3","1125","flexible",64,1,1,2,101,0,1,0,2,900,NA,10,9,10,10,10,10,98,TRUE,"Copacabana",FALSE
"533","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","3","89","strict_14_with_grace_period",54,1,1,4,149,400,1,150,2,30,NA,10,10,10,10,10,9,96,TRUE,"Ipanema",FALSE
"534","Hong Kong","Hong Kong","Apartment","Entire home/apt","Real Bed","3","1125","strict_14_with_grace_period",13,2,1,2,416,1000,1,200,1,100,NA,10,10,10,10,10,10,97,FALSE,"Sheung Wan",TRUE
"535","Istanbul","Turkey","Apartment","Private room","Real Bed","1","1125","flexible",0,1,1,1,105,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",FALSE
"536","Sydney","Australia","House","Private room","Real Bed","2","4","flexible",0,1,1,2,151,150,1,50,1,0,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"",TRUE
"537","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","1","1125","moderate",5,1,2,4,261,NA,1,130,2,150,NA,10,10,10,10,10,9,96,FALSE,"Leblon",FALSE
"538","New York","United States","Apartment","Entire home/apt","Real Bed","1","1125","flexible",36,1,2,4,149,0,1,75,1,0,NA,9,8,10,10,10,9,89,FALSE,"Bushwick",TRUE
"539","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","5","30","strict_14_with_grace_period",2,1,1,4,373,NA,1,187,1,0,NA,9,10,10,9,8,9,90,FALSE,"",FALSE
"540","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","3","1125","strict_14_with_grace_period",1,1,1,2,701,1000,2,100,1,0,NA,10,10,10,10,10,8,100,FALSE,"",FALSE
"541","Porto","Portugal","Apartment","Entire home/apt","Real Bed","4","365","strict_14_with_grace_period",13,2,4,5,129,250,2,90,4,25,NA,10,10,10,10,10,10,97,FALSE,"",FALSE
"542","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","4","15","flexible",0,2,2,6,1529,NA,1,560,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",TRUE
"543","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","10","1125","flexible",0,3,5,6,1044,5595,3,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",FALSE
"544","Rio De Janeiro","Brazil","House","Shared room","Real Bed","15","1125","strict_14_with_grace_period",1,1,4,1,116,341,3.5,150,1,0,NA,NA,NA,NA,10,8,10,100,FALSE,"Ipanema",FALSE
"545","Hong Kong","Hong Kong","Apartment","Entire home/apt","Real Bed","1","1125","flexible",0,1,2,2,597,1000,1,200,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Soho",FALSE
"546","Barcelona","Spain","Apartment","Private room","Real Bed","4","15","flexible",3,1,1,1,18,NA,1.5,NA,1,0,NA,10,10,9,10,10,10,100,FALSE,"Dreta de l'Eixample",TRUE
"547","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","15","1125","flexible",0,3,2,4,988,10000,3,300,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",FALSE
"548","Rio De Janeiro","Brazil","Loft","Entire home/apt","Real Bed","2","90","strict_14_with_grace_period",35,0,2,4,172,0,1,150,1,0,NA,10,10,10,10,10,9,98,TRUE,"Copacabana",TRUE
"549","Sydney","Australia","House","Private room","Real Bed","7","1125","flexible",0,1,1,2,50,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Bondi",TRUE
"550","Rio De Janeiro","Brazil","Villa","Entire home/apt","Real Bed","2","1125","flexible",0,2,2,3,451,NA,1,100,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Vila Isabel",FALSE
"551","Montreal","Canada","Condominium","Entire home/apt","Real Bed","4","1125","strict_14_with_grace_period",8,1,1,3,181,671,1,94,2,27,NA,10,10,10,10,10,9,95,FALSE,"Villeray",FALSE
"552","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","10","30","flexible",0,0,4,6,2238,3730,2,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",FALSE
"553","Barcelona","Spain","Apartment","Entire home/apt","Real Bed","32","1125","strict_14_with_grace_period",0,3,6,6,805,800,2,180,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"El Gòtic",FALSE
"554","Sydney","Australia","Apartment","Entire home/apt","Real Bed","2","1125","strict_14_with_grace_period",4,0,3,5,209,500,1,NA,2,18,NA,6,7,8,8,8,7,60,FALSE,"Haymarket",TRUE
"555","Barcelona","Spain","Apartment","Entire home/apt","Real Bed","3","334","strict_14_with_grace_period",34,3,3,6,300,NA,2,NA,4,30,NA,10,10,10,10,10,9,94,FALSE,"Dreta de l'Eixample",FALSE
"556","Sydney","Australia","Apartment","Entire home/apt","Real Bed","2","1125","strict_14_with_grace_period",67,1,1,2,139,NA,1,60,1,0,NA,9,9,9,9,10,9,89,TRUE,"Mosman",FALSE
"557","Sydney","Australia","Bed and breakfast","Private room","Real Bed","1","1125","flexible",30,3,2,4,139,0,1,25,1,140,NA,9,9,9,9,10,9,91,FALSE,"",FALSE
"558","New York","United States","Townhouse","Private room","Real Bed","1","1125","flexible",7,1,1,2,50,NA,2,20,1,0,NA,10,8,10,10,10,10,89,FALSE,"Bedford-Stuyvesant",FALSE
"559","Rio De Janeiro","Brazil","Apartment","Private room","Real Bed","5","30","flexible",0,1,1,1,78,500,2,120,2,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",FALSE
"560","Istanbul","Turkey","Apartment","Entire home/apt","Real Bed","5","30","strict_14_with_grace_period",39,2,2,4,385,0,1,268,4,179,NA,10,10,10,10,9,10,96,TRUE,"",FALSE
"561","Porto","Portugal","Apartment","Entire home/apt","Real Bed","2","1120","strict_14_with_grace_period",111,2,3,7,70,0,1,0,2,12,NA,10,10,10,10,10,9,95,FALSE,"",TRUE
"562","Hong Kong","Hong Kong","Apartment","Private room","Real Bed","5","100","flexible",0,1,1,1,267,0,1,100,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Sheung Wan",FALSE
"563","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","5","21","flexible",38,1,3,4,201,0,1,80,3,50,NA,10,10,10,10,10,10,97,TRUE,"",TRUE
"564","Kauai","United States","Condominium","Entire home/apt","Real Bed","2","1125","strict_14_with_grace_period",44,1,1,2,119,0,1,165,1,0,NA,9,9,10,9,10,9,90,FALSE,"Kauaʻi",TRUE
"565","","Australia","Apartment","Entire home/apt","Real Bed","2","1125","strict_14_with_grace_period",1,2,2,4,254,500,1,80,1,0,NA,10,10,10,10,10,10,100,FALSE,"Waverly",TRUE
"566","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","1","1125","flexible",0,2,3,4,1865,NA,2,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Recreio dos Bandeirantes",FALSE
"567","Montreal","Canada","Apartment","Entire home/apt","Real Bed","1","1125","strict_14_with_grace_period",18,2,3,6,90,250,1,50,1,0,NA,10,10,10,10,10,10,94,FALSE,"Le Plateau",TRUE
"568","New York","United States","Apartment","Entire home/apt","Real Bed","3","1125","strict_14_with_grace_period",40,2,2,4,375,1000,1,160,4,25,NA,10,10,10,10,9,9,96,TRUE,"Harlem",FALSE
"569","Istanbul","Turkey","Apartment","Private room","Real Bed","1","1125","flexible",0,1,1,1,158,NA,1,NA,1,105,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",FALSE
"570","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","20","25","strict_14_with_grace_period",0,2,2,4,1306,13055,2,261,4,1119,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",FALSE
"571","Oahu","United States","Condominium","Entire home/apt","Real Bed","5","600","moderate",73,1,3,5,119,300,1,300,2,0,NA,10,10,10,10,10,10,99,TRUE,"Waikiki",TRUE
"572","Sydney","Australia","Townhouse","Private room","Real Bed","1","60","strict_14_with_grace_period",35,2,1,2,80,200,1,40,1,0,NA,9,9,10,10,10,9,90,FALSE,"Paddington",TRUE
"573","Barcelona","Spain","Apartment","Entire home/apt","Real Bed","6","1125","flexible",320,2,2,4,63,0,1,50,2,0,NA,10,9,10,10,10,10,94,TRUE,"El Poble-sec",TRUE
"574","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","10","360","strict_14_with_grace_period",0,2,2,4,1000,2000,1.5,200,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Copacabana",FALSE
"575","Oahu","United States","Condominium","Entire home/apt","Real Bed","1","1125","moderate",29,0,2,3,118,100,1,98,1,0,NA,9,9,9,9,10,9,84,FALSE,"Waikiki",FALSE
"576","Maui","United States","Condominium","Entire home/apt","Real Bed","2","1125","strict_14_with_grace_period",8,0,1,4,150,0,1,110,1,0,NA,10,9,10,10,10,10,93,TRUE,"Kihei/Wailea",FALSE
"577","The Big Island","United States","House","Entire home/apt","Real Bed","3","31","moderate",16,3,5,6,55,100,1.5,60,2,20,NA,9,8,10,10,8,9,85,FALSE,"Island of Hawaiʻi",FALSE
"578","Oahu","United States","Apartment","Entire home/apt","Real Bed","1","1125","strict_14_with_grace_period",108,0,1,2,99,0,1,85,1,0,NA,9,10,10,10,9,9,93,FALSE,"Waikiki",TRUE
"579","Montreal","Canada","Townhouse","Entire home/apt","Real Bed","5","1125","strict_14_with_grace_period",3,4,4,7,208,500,1.5,125,1,0,NA,10,10,10,10,10,10,100,FALSE,"Le Plateau",FALSE
"580","Oahu","United States","House","Private room","Real Bed","2","14","moderate",120,1,1,2,95,NA,1,30,1,20,NA,10,9,10,10,10,10,98,TRUE,"North Shore",TRUE
"581","Barcelona","Spain","Apartment","Entire home/apt","Real Bed","32","1125","strict_14_with_grace_period",5,1,1,2,75,1100,2,65,1,0,NA,10,10,10,10,10,10,96,FALSE,"Les Corts",TRUE
"582","Barcelona","Spain","Apartment","Entire home/apt","Real Bed","3","31","moderate",67,2,3,6,90,150,1,60,2,10,NA,10,10,10,10,10,10,100,TRUE,"Diagonal Mar - La Mar Bella",TRUE
"583","Rio De Janeiro","Brazil","Loft","Entire home/apt","Real Bed","2","1125","moderate",6,1,2,3,198,400,1,150,3,0,NA,10,9,10,10,10,9,93,FALSE,"",FALSE
"584","Hong Kong","Hong Kong","Apartment","Private room","Real Bed","30","90","flexible",1,1,1,1,243,1000,1,0,1,0,NA,10,8,10,10,10,8,80,FALSE,"Sheung Wan",FALSE
"585","Rio De Janeiro","Brazil","Apartment","Entire home/apt","Real Bed","10","25","flexible",0,2,3,5,933,9325,2,336,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",FALSE
"586","Rio De Janeiro","Brazil","Apartment","Private room","Real Bed","1","1125","moderate",0,1,1,2,63,341,1,50,1,30,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"",TRUE
"587","Montreal","Canada","Apartment","Entire home/apt","Real Bed","2","1125","strict_14_with_grace_period",33,2,2,4,90,400,1,111,4,7,NA,9,9,10,9,10,9,92,FALSE,"Gay Village",FALSE
"588","Porto","Portugal","Apartment","Entire home/apt","Real Bed","5","31","strict_14_with_grace_period",22,1,1,3,55,0,1,0,1,0,NA,10,9,9,9,9,9,86,FALSE,"",TRUE
"589","New York","United States","Apartment","Entire home/apt","Real Bed","2","10","strict_14_with_grace_period",15,2,1,2,125,200,1,50,2,0,NA,9,9,10,10,10,10,100,FALSE,"Williamsburg",FALSE
"590","Sydney","Australia","Apartment","Entire home/apt","Real Bed","31","1125","strict_14_with_grace_period",25,2,3,4,200,1300,1,275,1,0,NA,9,8,8,9,10,9,81,FALSE,"Chatswood",TRUE
"591","Sydney","Australia","Apartment","Entire home/apt","Real Bed","2","1125","strict_14_with_grace_period",46,3,6,8,370,500,1,NA,2,18,NA,9,9,10,10,10,9,90,FALSE,"Haymarket",TRUE
"592","Sydney","Australia","Serviced apartment","Entire home/apt","Real Bed","2","92","moderate",97,0,2,3,205,400,1,50,2,30,NA,10,10,10,10,10,10,98,TRUE,"Manly",FALSE
"593","New York","United States","Apartment","Private room","Real Bed","2","30","moderate",24,1,1,2,90,0,1,30,1,10,NA,10,10,10,10,10,10,99,FALSE,"Williamsburg",TRUE
"594","New York","United States","Apartment","Entire home/apt","Real Bed","1","1125","strict_14_with_grace_period",130,1,1,2,142,0,1,75,1,0,NA,10,9,10,10,10,9,91,FALSE,"Alphabet City",TRUE
